State,Income,House.Value,Foreign.Born,HS.Diploma,Presidential.Election
Alabama,42081,117600,3.4,18.6,Rep
Alaska,66521,229100,7.2,9.3,Rep
Arizona,50448,215000,14.2,15,Rep
Arkansas,39267,102300,4.3,18.1,Rep
California,60883,458500,27.2,19.3,Dem
Colorado,56456,236600,9.8,10.7,Dem
Connecticut,67740,296500,13.2,11.6,Dem
Delaware,57599,242300,8.2,13,Dem
Florida,47661,205600,19.2,14.7,Rep
Georgia,49347,161400,9.6,16.5,Rep
Hawaii,66420,537400,17.7,10.2,Dem
Idaho,46423,172700,5.9,11.8,Rep
Illinois,55735,202500,13.6,13.8,Dem
Indiana,47697,123000,4.4,13.8,Rep
Iowa,48872,119200,4.1,10.1,Rep
Kansas,49424,122600,6.3,10.8,Rep
Kentucky,41576,116800,3.1,19,Rep
Louisiana,43445,130000,3.6,19,Rep
Maine,46933,176200,3.3,10.2,Dem
Maryland,70647,329400,13.2,12.2,Dem
Massachusetts,64509,352300,14.5,11.3,Dem
Michigan,48432,144200,5.9,12,Rep
Minnesota,57243,206200,7,8.7,Dem
Mississippi,37881,96500,2.2,20.4,Rep
Missouri,46262,137700,3.7,13.8,Rep
Montana,43872,173300,2,9,Rep
Nebraska,49342,123900,5.9,10,Rep
Nevada,55726,254200,19.3,15.7,Dem
New Hampshire,63277,253200,5.3,9.1,Dem
New Jersey,69811,357000,20.3,12.7,Dem
New Mexico,43820,158400,9.7,17.3,Dem
New York,55603,303900,21.7,15.6,Dem
North Carolina,45570,149100,7.4,16.4,Rep
North Dakota,46781,111300,2.4,10.6,Rep
Ohio,47358,136400,3.8,12.6,Rep
Oklahoma,42979,104300,5.2,14.6,Rep
Oregon,49260,252600,9.7,11.4,Dem
Pennsylvania,50398,159300,5.6,12.6,Rep
Rhode Island,54902,279300,12.6,16.3,Dem
South Carolina,43939,134100,4.7,17,Rep
South Dakota,46369,122200,2.3,10.7,Rep
Tennessee,43314,134100,4.4,17.5,Rep
Texas,49646,123500,16.1,20,Rep
Utah,56330,218100,8.2,9.4,Rep
Vermont,51841,208400,4,9.4,Dem
Virginia,61406,255100,10.8,13.9,Dem
Washington,57244,285400,12.7,10.4,Dem
West Virginia,38380,94500,1.3,18.1,Rep
Wisconsin,51598,169000,4.6,10.6,Rep
Wyoming,53802,174000,3.1,8.7,Rep
