Initial.Return,Price.Revision,High.Tech
33.93,7.14,No
18.68,-26.39,No
2.42,,No
6.29,-46.15,Yes
0,-12.5,No
,0,Yes
14.43,,Yes
0,-21.74,No
0,-17.65,No
0,-5.88,No
1.22,-5.26,No
11.11,7.14,No
7.95,4.76,No
13.46,11.11,Yes
1.67,-45.45,Yes
16.5,-33.33,Yes
5.25,5.26,Yes
,-41.67,Yes
4.91,-15.38,No
16.67,12.5,Yes
-24.38,-19.76,No
-7.78,12.5,No
33.93,33.33,Yes
8.06,3.33,No
-10,-9.09,Yes
1.33,-42.31,Yes
0.1,-23.08,Yes
0,-19.3,No
15.91,7.32,No
12.86,0,Yes
11.62,0,No
,-11.11,Yes
0.08,-13.33,No
12.26,,No
4.37,-27.27,Yes
13.75,0,No
3.47,0,Yes
11.94,5.88,No
28.24,13.33,No
39.75,25,No
,7.69,Yes
0,-9.52,No
3.62,-20,Yes
19.18,-29.17,No
9.21,5.56,No
0,0,No
12.5,6.67,Yes
-1.21,-7.17,No
15.52,11.54,Yes
0,-0.59,Yes
0.87,,No
0.1,-16.67,Yes
11.43,7.69,Yes
0,-7.14,No
0.85,-7.14,No
0,-27.27,No
0.42,-7.69,Yes
33.5,26.32,No
8.07,7.69,No
2.08,-25,Yes
7.14,-22.22,Yes
0,-5.01,No
,-2.94,No
26.58,18.75,No
36.36,37.5,Yes
3.71,,Yes
16.9,3.57,No
2.06,0,No
33.39,20,No
4.21,-6.67,Yes
0.38,-18.75,No
0.67,0,No
,8.33,Yes
0,-22.45,No
2,-27.27,Yes
23.53,13.33,Yes
-13.46,-18.75,Yes
0,,No
0.17,-7.69,Yes
13.1,5,No
23.53,13.33,Yes
10.67,-42.31,Yes
36.92,9.09,No
10.34,-42,No
10.91,-15.38,No
0.33,0,No
0,-20,No
0.04,-11.54,No
0,-21.88,Yes
5.36,-3.45,No
5.36,,No
42.86,10.53,Yes
15.45,3.57,No
15.63,0,No
35.71,40,Yes
0,-29.73,Yes
5,-5.62,No
6.94,0,No
25,6.67,No
-2.82,-11.36,No
10.59,6.25,No
17.65,-30.04,Yes
11.67,5.88,No
15.67,,Yes
5.31,3.57,Yes
6.43,-6.67,No
15.79,-2.56,No
2.31,-7.14,No
6.58,-7.69,No
7.59,4.29,No
1.73,-7.5,Yes
0.57,-6.67,Yes
0,,No
0,-23.53,No
7.29,-36.36,Yes
35.71,40,Yes
0,-28.89,No
20.63,6.67,Yes
19.64,21.74,No
35.71,16.67,Yes
-7.36,-21.74,No
43.75,14.29,Yes
35.57,16.67,No
7.33,3.45,No
0,-10.53,No
6.25,,No
0,-7.14,Yes
31.13,7.14,No
0,-16.67,No
1.11,-30.77,Yes
13.71,-22.22,Yes
2.5,-9.09,Yes
0,-13.33,No
40.38,-46.91,Yes
1.93,7.69,Yes
0,-20,No
19.23,-10.34,No
24.46,9.4,No
9.62,8.33,No
1.44,-0.71,Yes
-4,-9.09,No
0.07,,No
12.16,2.78,No
6.88,6.67,Yes
0.43,-41.67,Yes
15.69,0,No
0.04,20.42,No
0,-25,No
7.14,-50,Yes
2.1,-23.08,Yes
10.71,,Yes
3.85,-53.57,Yes
20,2.94,No
0.1,-10.19,Yes
2.6,-16.67,Yes
10,-4.76,No
11.36,0,No
21.05,18.75,No
0.25,-20,No
17.71,6.25,Yes
-1.25,4.92,No
2.14,-6.67,Yes
0,-7.69,Yes
2.5,-7.69,Yes
8,7.14,No
0,4.55,No
21.95,,No
5,10.53,No
0,0,No
0.12,-33.33,Yes
38.64,-42,Yes
0.08,-25,Yes
36.79,27.27,Yes
4,-8.33,Yes
1.88,-27.27,No
0.45,-8.33,No
13.86,2.33,Yes
2,-3.38,Yes
-0.14,-6.67,No
14.53,-28.52,No
2.86,-9.97,No
0,13.04,No
3.85,,No
13.42,18.75,No
0,-6.25,No
15.63,4.35,No
11.67,-22.48,Yes
8.7,-4.17,Yes
1.89,0,No
16.67,-16.67,Yes
4.29,-6.67,Yes
2,0,No
13.06,6.25,Yes
0.07,-12.5,No
13.46,0,No
1.43,-4.55,No
3,-16.67,No
8.33,9.09,No
3.33,0,No
11.11,0,No
15,7.14,No
3.57,-6.67,No
7.14,-50,Yes
6.07,0,No
0.09,128.22,No
0,11.76,No
9.62,-13.33,No
0.29,-30,Yes
1.25,-14.29,Yes
0,-20,No
0.15,-7.14,No
5.08,-11.11,No
21.33,25,Yes
0.07,-6.67,Yes
0,,No
20.42,9.09,Yes
0,-12.5,No
19.33,7.14,No
7.5,-57.14,No
28.85,-7.14,No
0,5.88,Yes
4.35,-23.33,No
-4.17,-14.29,No
0,-46.67,Yes
19.18,10,Yes
7.58,-13.16,No
7.27,0,No
12.92,,No
0.86,-0.5,Yes
6,-11.76,No
2.78,5.88,Yes
0,-21.43,No
0,-12.5,No
0.11,-25,Yes
16.08,30,Yes
4.55,7.32,No
0.14,-36.36,Yes
0,,No
0.1,-28.57,No
7.93,-27.44,No
19.51,-2.38,No
30.56,0,No
1.25,-27.27,Yes
0.06,-5.88,Yes
19.64,-23.75,Yes
8.75,0,No
0,-2.5,No
14,11.11,No
1.58,-5,No
13.53,13.33,No
18.95,5.56,No
0,-14.71,No
5.81,3.33,No
22.48,-22.5,Yes
14.38,33.33,No
8.82,-22.73,No
0,-40.91,No
6.25,-42.86,Yes
14.29,-30,Yes
6.88,6.67,No
29.47,13.33,No
0,-12.5,No
18,11.43,No
0.08,-29.41,Yes
