GRE,Rank,SOP,LOR ,CGPA,Research,Admit
337,4,4.5,4.5,9.65,1,1
324,4,4,4.5,8.87,1,1
316,3,3,3.5,8,1,1
322,3,3.5,2.5,8.67,1,1
314,2,2,3,8.21,0,0
330,5,4.5,3,9.34,1,1
321,3,3,4,8.2,1,1
308,2,3,4,7.9,0,0
302,1,2,1.5,8,0,0
323,3,3.5,3,8.6,0,0
325,3,3.5,4,8.4,1,0
327,4,4,4.5,9,1,1
328,4,4,4.5,9.1,1,1
307,3,4,3,8,1,0
311,3,3.5,2,8.2,1,0
314,3,3.5,2.5,8.3,0,0
317,3,4,3,8.7,0,0
319,3,4,3,8,1,0
318,3,4,3,8.8,0,0
303,3,3.5,3,8.5,0,0
312,3,3,2,7.9,1,0
325,4,3,2,8.4,0,0
328,5,5,5,9.5,1,1
334,5,5,4.5,9.7,1,1
336,5,4,3.5,9.8,1,1
340,5,4.5,4.5,9.6,1,1
322,5,4.5,3.5,8.8,0,1
298,2,1.5,2.5,7.5,1,0
295,1,2,2,7.2,0,0
310,2,1.5,2,7.3,0,0
300,2,3,3,8.1,1,0
327,3,4,4,8.3,1,1
338,4,3,4.5,9.4,1,1
340,5,4,4,9.6,1,1
331,5,4,5,9.8,1,1
320,5,5,5,9.2,1,1
299,2,4,4,8.4,0,0
300,1,1,2,7.8,0,0
304,1,3,1.5,7.5,0,0
307,2,4,3.5,7.7,0,0
308,3,3.5,3,8,1,0
316,2,2.5,2.5,8.2,1,0
313,2,2.5,2,8.5,1,0
332,4,4.5,4,9.1,0,1
326,5,4.5,4,9.4,1,1
322,5,5,4,9.1,1,1
329,5,4,5,9.3,1,1
339,5,4.5,4,9.7,0,1
321,3,3.5,5,8.85,1,1
327,4,3,4,8.4,1,1
313,3,2.5,4.5,8.3,1,1
312,2,1.5,3.5,7.9,1,0
334,4,4,3,8,1,1
324,4,4,2.5,8.1,1,1
322,3,3,3.5,8,0,0
320,3,3,3,7.7,0,0
316,3,2,3,7.4,0,0
298,2,4,2,7.6,0,0
300,1,3,2,6.8,1,0
311,2,2,2,8.3,0,0
309,2,3,3,8.1,0,0
307,3,4,3,8.2,0,0
304,2,3,3,8.2,1,0
315,2,4,3,8.5,1,0
325,3,3,3.5,8.7,0,0
325,4,3.5,3.5,8.92,0,0
327,3,3,3,9.02,0,0
316,2,3.5,3.5,8.64,1,0
318,3,3.5,4,9.22,1,0
328,4,4.5,4,9.16,1,1
332,5,5,5,9.64,1,1
336,5,5,5,9.76,1,1
321,5,5,5,9.45,1,1
314,4,4.5,4,9.04,1,1
314,3,3,5,8.9,0,1
329,2,2,4,8.56,1,1
327,3,3,3,8.72,1,1
301,2,3,2,8.22,0,0
296,2,3,2,7.54,1,0
294,1,1.5,2,7.36,0,0
312,3,2,3,8.02,1,0
340,4,5,5,9.5,1,1
320,5,5,4.5,9.22,1,1
322,5,4,4.5,9.36,1,1
340,5,4.5,4.5,9.45,1,1
319,4,4.5,3.5,8.66,0,1
315,3,4.5,3.5,8.42,0,1
317,2,3.5,3,8.28,0,0
314,3,4.5,3.5,8.14,0,0
316,4,4.5,3.5,8.76,1,1
318,2,4,4,7.92,1,0
299,3,5,3.5,7.66,0,0
298,2,4,3,8.03,0,0
301,2,3,3,7.88,1,0
303,3,2,2.5,7.66,0,0
304,4,1.5,2.5,7.84,0,0
306,2,3,3,8,0,0
331,3,4,4,8.96,1,1
332,4,5,4.5,9.24,1,1
323,3,4,4,8.88,1,1
322,3,3.5,3.5,8.46,1,1
312,2,2.5,3,8.12,0,0
314,2,4,3.5,8.25,0,0
317,2,4.5,4,8.47,0,0
326,3,3.5,3,9.05,1,1
316,3,4,4.5,8.78,1,0
